391616_394588	649353_Sen57220ORF17115P	IIIR	100.000_990_990_990
394598_396556	660441_M.SenSTy03ORF10320P	IIIM	100.000_652_652_652
871940_872854	661500_SenUGA14MrrP	IVR	100.000_304_304_304
873052_876561	628211_SenLT2SORF23060P	IR	100.000_1169_1169_1169
876719_878308	659693_M.SenS7ORFBP	IM	100.000_529_529_529
878305_879714	660781_S.SenT1ORF5437P	IS	100.000_469_469_469
910381_914058	663100_Sens751ORF2370P	IIGR	100.000_1225_1225_1225
920756_921745	629348_Sen2122MrrP	IVR	100.000_329_329_329
2017803_2018639	662165_M.SenZCXDamP	orphanM	100.000_278_278_278
2099802_2100686	662114_M.SenYU0718ORF17835P	IIM	100.000_294_294_294
2783788_2784645	634398_M.Sen0037ORF5855P	orphanM	100.000_285_285_285
3581622_3583052	660659_M.SenSty02DcmP	orphanM	100.000_476_476_476
3583033_3583503	661544_V.SenUK1DcmP	IIV	100.000_156_156_156
