5790_8438	86430_CbuDORF39290P	IIIR	100.000_882_882_882
8443_10050	86431_M.CbuDORF39290P	IIIM	100.000_535_535_535
5854_8085	86428_CbuDORF39230P	IIR	100.000_743_743_743
8292_9629	86429_M.CbuDORF39230P	IIM	100.000_445_445_445
3269_4024	86427_M.CbuDORF36650P	IIM	100.000_251_251_251
9223_10596	86426_M.CbuDORF28590P	IIM	100.000_457_457_457
12592_14748	86425_CbuDORF28590P	IIR	100.000_718_718_718
4408_6909	86438_CbuD10702ORF7335P	IVR	99.160_833_833_833
40518_41006	86424_CbuDI	IIR	100.000_162_162_168
